NPDB_ID,NPDB_mm,SMILES
NP_201176,903.40412,COC1OC(COCc2ccccc2)C(OC2OC(C)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)C(OC2OC(CO)C(O)C(O)C2O)C1NC(C)=O
NP_12903,903.42525,C=C1C(O)C23CCC4C(C(=O)O)(C(=O)O)CC(OC5OC(CO)C(OC6OC(C)C(O)C(O)C6O)C(OC(=O)CCc6ccccc6)C5NC(=O)CC(C)C)CC4(C)C2CCC1(O)C3
NP_113711,925.4215186960002,CCC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2O)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(O)COS(=O)(=O)O)C(C)OC1=O
NP_113433,925.421519,CCC(C)C1N=C(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2O)N=C(O)C(CCCNC(=N)N)N=C(O)C(N=C(O)C(O)COS(=O)(=O)O)C(C)OC1=O
NP_132063,925.4363064720001,CCCC(C)C(O)C(C)C1OC(=O)C(C(C)O)NC(=O)C(C(C)C)OC(=O)C(C)C(O)C(C(C)CC)NC(=O)C2(C)CSC(=N2)C2(C)CSC(=N2)c2csc(n2)CC(OC)C1C
NP_113708,925.4215186960002,CCC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)CC)N2C(=O)C(CCC2O)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(CO)OS(=O)(=O)O)C(C)OC1=O
NP_249053,881.092759,CSC(O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
NP_101828,859.3786,CC1OC(OC2C(OC3CCC4(C)C5=CC(O)C67C(=O)OC(C)(CC=CC(C)(C)O)C6(O)CCC7(C)C5CCC4C3(C)C)OCC(OS(=O)(=O)[O-])C2O)C(O)C(O)C1O
NP_62591,859.3963495040001,CC(C)CCCCCC(N)CC(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(C(=O)OCC(O)C(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(O)c1ccccc1)C(O)C(N)=O
NP_40372,859.42874,CC(=O)OC1CC=CC2CC(OC(=O)C3O[B-]45OC(C(=O)OC6CC(C=CCC(OC(C)=O)C(C)(C)C7CCC(C)C3(O7)O4)OC6C)C3(OC(CCC3C)C1(C)C)O5)C(C)O2
NP_62511,859.41498,CC(C)CCCC1(C)OC(=O)C23C(O)C=C4C(CCC5C4(C)CCC(OCC4OCC(OS(=O)(=O)[O-])C(O)C4OC4OC(C)C(O)C(O)C4O)C5(C)C)C2(C)CCC13O
NP_101825,859.3786,CC1OC(OC2C(OC3CCC4(C)C5=CC(O)C67C(=O)OC(C)(C8CCC(C)(C)O8)C6(O)CCC7(C)C5CCC4C3(C)C)OCC(OS(=O)(=O)[O-])C2O)C(O)C(O)C1O
NP_115218,616.31887,CCC(C=C1OC(=O)C2=C(c3cccc(O)c3)C3CCC12C1C2=C(CCC31)C(=CCCC1CCCC1)OC2=O)Cc1ccccc1
NP_73390,616.31804,CC(O)COCCC1OCC(C2OC(NC3=NC(C4(O)CNC(=O)NC4=O)CN3)C(NC(=O)CC(N)CCCN)C2O)O1
NP_38117,616.32475,CC(=O)OC1C=C(C2OC3OC(O)C4=CC(OC(C)=O)C5C(C)(C)CCCC5(C)C43O2)C(O)(C=O)C2(C)CCCC(C)(C)C12
NP_35951,616.31217,CC(=O)OC1(C(=O)COC(=O)CCC(=O)NCC(C)(C)C(O)C(=O)[O-])CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
NP_202459,616.31217,COCC12CCC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C13)C4[NH+](C)C2
NP_87283,616.326085,CC1=CC(C)C(C)OC(=O)CC(c2ccc(O)cc2)N=C(O)C(Cc2c[nH]c3ccccc23)N(C)C(=O)C(C)N=C(O)C(C)C1
NP_40233,616.31485,CC(=O)OC1CC2CC(OC(=O)C3C(c4ccccc4)C(C(=O)OC4CC5CC(O)C(C4)N5C)C3c3ccccc3)CC1N2C
NP_133609,616.31887,CCCC=C1OC(=O)C2=C(c3cc(O)ccc3-c3ccccc3)C3CCC12C1C2=C(CCC31)C(=CCCC1CCCCC1)OC2=O
NP_63865,616.34477,CC(C)N=C(O)N(C)CC1OCCCCC(C)Oc2ccc(N=C(O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C
NP_85326,616.32475,CC1=C(COC2OC(CO)C(O)C(O)C2O)C(=O)OC(C(C)C2CCC3C4C(O)C=C5CC=CC(=O)C5(C)C4CCC23C)C1
NP_44246,616.32475,CC(=O)OCC1OC(Oc2cc(C)c(O)cc2CC=C(C)CCC=C(C)CCC=C(C)C)C(O)C(OC(C)=O)C1OC(C)=O
NP_97653,616.326085,CC1CCCCOC(CN(C)C(=O)c2ccncc2)C(C)CN(C(C)CO)C(=O)c2cc(N=C(O)c3ccccc3)ccc2O1
NP_97648,616.326085,CC1CCCCOC(CN(C)C(=O)c2ccccc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1
NP_50721,616.326,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(OC(=O)CCC(=O)O)c(C(C)(C)C)c1
