,ms_name,mz,observed_mm,mm_low,mm_high,adduct_name
0,BTI1,309.1709,925.4162882882883,925.3884350540541,925.4441415225226,M+3H 
1,BTI1,309.1709,903.4123423423424,903.384489108108,903.4401955765767,M+2H+Na 
2,BTI1,309.1709,881.0952252252252,881.067371990991,881.1230784594595,M+H+2Na 
3,BTI1,309.1709,859.4044504504504,859.3765972162162,859.4323036846848,M+3Na 
4,BTI1,309.1709,616.327248,616.308697746,616.3457982540001,M+2H 
5,BTI1,309.1709,599.3007,599.282149746,599.319250254,M+H+NH4 
6,BTI1,309.1709,594.345306,594.326755746,594.3638562540001,M+H+Na 
7,BTI1,309.1709,578.3713660000001,578.352815746,578.3899162540001,M+H+K 
8,BTI1,309.1709,575.3007,575.282149746,575.319250254,M+ACN+2H
9,BTI1,309.1709,572.363364,572.344813746,572.3819142540001,M+2Na 
10,BTI1,309.1709,534.2741540000001,534.255603746,534.2927042540001,M+2ACN+2H
11,BTI1,309.1709,493.247606,493.229055746,493.26615625400007,M+3ACN+2H
12,BTI1,309.1709,308.163624,308.154348873,308.17289912700005,M+H 
13,BTI1,309.1709,291.13707700000003,291.127801873,291.14635212700006,M+NH4 
14,BTI1,309.1709,286.181682,286.172406873,286.19095712700005,M+Na 
15,BTI1,309.1709,276.13741100000004,276.128135873,276.14668612700007,M+CH3OH+H 
16,BTI1,309.1709,270.207742,270.198466873,270.217017127,M+K 
17,BTI1,309.1709,267.13707700000003,267.127801873,267.14635212700006,M+ACN+H 
18,BTI1,309.1709,264.19974,264.190464873,264.20901512700004,M+2Na-H 
19,BTI1,309.1709,248.10556000000003,248.096284873,248.11483512700005,M+IsoProp+H
20,BTI1,309.1709,245.15513500000003,245.145859873,245.16441012700005,M+ACN+Na 
21,BTI1,309.1709,232.25186000000002,232.242584873,232.26113512700005,M+2K+H 
22,BTI1,309.1709,230.14968000000002,230.140404873,230.15895512700004,M+DMSO+H 
23,BTI1,309.1709,226.11053,226.101254873,226.11980512700003,M+2ACN+H 
24,BTI1,309.1709,225.11579,225.10651487299998,225.12506512700003,M+IsoProp+Na+H
25,BTI1,309.1709,154.081812,154.0771744365,154.08644956350003,2M+H 
26,BTI1,309.1709,145.56853850000002,145.5639009365,145.57317606350003,2M+NH4 
27,BTI1,309.1709,143.090841,143.0862034365,143.09547856350002,2M+Na 
28,BTI1,309.1709,140.57389,140.5692524365,140.57852756350002,2M+3H2O+2H
29,BTI1,309.1709,135.103871,135.0992334365,135.1085085635,2M+K 
30,BTI1,309.1709,133.56853850000002,133.5639009365,133.57317606350003,2M+ACN+H 
31,BTI1,309.1709,122.57756750000001,122.5729299365,122.58220506350003,2M+ACN+Na 
32,BTI1,309.1709,931.465993993994,931.4381407597597,931.4938472282282,M-3H 
33,BTI1,309.1709,620.356352,620.337801746,620.3749022540001,M-2H 
34,BTI1,309.1709,328.18929,328.180014873,328.19856512700005,M-H2O-H
35,BTI1,309.1709,310.178176,310.168900873,310.18745112700003,M-H 
36,BTI1,309.1709,288.196234,288.186958873,288.205509127,M+Na-2H 
37,BTI1,309.1709,274.201498,274.192222873,274.21077312700004,M+Cl 
38,BTI1,309.1709,272.22229400000003,272.213018873,272.23156912700006,M+K-2H 
39,BTI1,309.1709,264.172699,264.163423873,264.18197412700005,M+FA-H 
40,BTI1,309.1709,250.15704900000003,250.147773873,250.16632412700005,M+Hac-H 
41,BTI1,309.1709,230.25201500000003,230.242739873,230.26129012700005,M+Br 
42,BTI1,309.1709,196.185314,196.17603887299998,196.19458912700003,M+TFA-H 
43,BTI1,309.1709,155.089088,155.0844504365,155.09372556350002,2M-H 
44,BTI1,309.1709,132.0863495,132.0817119365,132.09098706350002,2M+FA-H 
45,BTI1,309.1709,125.07852450000001,125.0738869365,125.08316206350003,2M+Hac-H 
46,BTI1,309.1709,103.39272533333333,103.38963362433333,103.39581704233335,3M-H 
